Title,Price,Rating,Reviews,Link,Brand
"MSI Thin 15, Intel 13th Gen. Core i5-13420H, 40CM FHD 144Hz Gaming Laptop(16GB/512GB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 3050,GDDR6 4GB/Cosmos Gray/1.86Kg), B13UC-1805IN",59990,4.1,69,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNTkxNjEzODE4NDkyMTE3OjE3NjY3NTg5OTI6c3BfbXRmOjMwMDQ1Njk0NDk4MjAzMjo6MDo6&url=%2FMSI-i5-13420H-Windows-GeForce-B13UC-1805IN%2Fdp%2FB0CV9J1QSM%2Fref%3Dsr_1_11_sspa%3Fdib%3DeyJ2IjoiMSJ9.fuKyGvxylU9VaCu5Bhm5qci4eYvuMJMB_AKLyKr2Nvm9FN07L04FZzPMMQcKY5cm7lGHkvSwZArJ8JLnI3zgqBZ64QrAfJ0GdArGGLtGiv3VUIEBHKD6S07g0kEu8p6UGKKFxcv5V4MnJo0vvrc0pRxDjUoYPuDtEpo2e0_BW8ti0bG84XqrvmGLTNv1DYuRC1g65Lr7Tsmtu2FFLoNA3lnEFxvLMvQQqpCbolsgE5s.gf2-kBaPzYBgN3vIOUwzkIqs6TPkcC-o-a84T_xHriU%26dib_tag%3Dse%26keywords%3Dgaming%2Blaptop%26qid%3D1766758992%26sr%3D8-11-spons%26aref%3DYsQuMG6LgS%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=YsQuMG6LgS&sp_cr=ZAZ,MSI
"HP Victus, 13th Gen Intel Core i5-13420H, 6GB RTX 4050 Gaming Laptop (16GB DDR4, 512GB SSD) 144Hz,300 nits,IPS, 15.6''/39.6cm, FHD, Win11, Office24, Mica Silver, 2,29kg, Backlit Kb,HD Camera,fa2701TX",76000,5.0,1,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNTkxNjEzODE4NDkyMTE3OjE3NjY3NTg5OTI6c3BfbXRmOjMwMDcyNDY4NzM1NDUzMjo6MDo6&url=%2FHP-i5-13420H-Office24-Backlit-fa2701TX%2Fdp%2FB0F3P3QM3V%2Fref%3Dsr_1_12_sspa%3Fdib%3DeyJ2IjoiMSJ9.fuKyGvxylU9VaCu5Bhm5qci4eYvuMJMB_AKLyKr2Nvm9FN07L04FZzPMMQcKY5cm7lGHkvSwZArJ8JLnI3zgqBZ64QrAfJ0GdArGGLtGiv3VUIEBHKD6S07g0kEu8p6UGKKFxcv5V4MnJo0vvrc0pRxDjUoYPuDtEpo2e0_BW8ti0bG84XqrvmGLTNv1DYuRC1g65Lr7Tsmtu2FFLoNA3lnEFxvLMvQQqpCbolsgE5s.gf2-kBaPzYBgN3vIOUwzkIqs6TPkcC-o-a84T_xHriU%26dib_tag%3Dse%26keywords%3Dgaming%2Blaptop%26qid%3D1766758992%26sr%3D8-12-spons%26aref%3DfMwuGQGVEa%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=fMwuGQGVEa&sp_cr=ZAZ,HP
"MSI Thin 15, Intel 13th Gen. Core i5-13420H, 40CM FHD 144Hz Gaming Laptop(16GB/512GB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 3050,GDDR6 4GB/Cosmos Gray/1.86Kg), B13UC-1805IN",59990,4.1,69,https://www.amazon.in/MSI-i5-13420H-Windows-GeForce-B13UC-1805IN/dp/B0CV9J1QSM/ref=sr_1_13?dib=eyJ2IjoiMSJ9.fuKyGvxylU9VaCu5Bhm5qci4eYvuMJMB_AKLyKr2Nvm9FN07L04FZzPMMQcKY5cm7lGHkvSwZArJ8JLnI3zgqBZ64QrAfJ0GdArGGLtGiv3VUIEBHKD6S07g0kEu8p6UGKKFxcv5V4MnJo0vvrc0pRxDjUoYPuDtEpo2e0_BW8ti0bG84XqrvmGLTNv1DYuRC1g65Lr7Tsmtu2FFLoNA3lnEFxvLMvQQqpCbolsgE5s.gf2-kBaPzYBgN3vIOUwzkIqs6TPkcC-o-a84T_xHriU&dib_tag=se&keywords=gaming+laptop&qid=1766758992&sr=8-13,MSI
"HP Smartchoice Victus, 13th Gen Intel Core i7-13620H, 8GB RTX 5050, 24GB DDR5(Upgradeable) 1TB SSD, 144Hz, FHD, 15.6''/39.6cm, Win11, M365* Office24, Mica Silver, 2.29kg, fa2309TX, RGB Gaming Laptop",103990,4.0,35,https://www.amazon.in/HP-Smartchoice-i7-13620H-Upgradeable-Office24/dp/B0FDKPZHB7/ref=sr_1_14?dib=eyJ2IjoiMSJ9.fuKyGvxylU9VaCu5Bhm5qci4eYvuMJMB_AKLyKr2Nvm9FN07L04FZzPMMQcKY5cm7lGHkvSwZArJ8JLnI3zgqBZ64QrAfJ0GdArGGLtGiv3VUIEBHKD6S07g0kEu8p6UGKKFxcv5V4MnJo0vvrc0pRxDjUoYPuDtEpo2e0_BW8ti0bG84XqrvmGLTNv1DYuRC1g65Lr7Tsmtu2FFLoNA3lnEFxvLMvQQqpCbolsgE5s.gf2-kBaPzYBgN3vIOUwzkIqs6TPkcC-o-a84T_xHriU&dib_tag=se&keywords=gaming+laptop&qid=1766758992&sr=8-14,HP
"ASUS Gaming V16 (2025) 14th Gen,Intel Core 5 210H Gaming Laptop (RTX 4050-6GB/16GB RAM/512GB SSD/Windows 11 Home/16/144Hz/M365*/Office Home 2024,Matte Black,1.95 Kg),V3607VU-RP550WS",77790,4.0,47,https://www.amazon.in/ASUS-Gaming-4050-6GB-Windows-V3607VU-RP550WS/dp/B0F5N2ZK2S/ref=sr_1_15?dib=eyJ2IjoiMSJ9.fuKyGvxylU9VaCu5Bhm5qci4eYvuMJMB_AKLyKr2Nvm9FN07L04FZzPMMQcKY5cm7lGHkvSwZArJ8JLnI3zgqBZ64QrAfJ0GdArGGLtGiv3VUIEBHKD6S07g0kEu8p6UGKKFxcv5V4MnJo0vvrc0pRxDjUoYPuDtEpo2e0_BW8ti0bG84XqrvmGLTNv1DYuRC1g65Lr7Tsmtu2FFLoNA3lnEFxvLMvQQqpCbolsgE5s.gf2-kBaPzYBgN3vIOUwzkIqs6TPkcC-o-a84T_xHriU&dib_tag=se&keywords=gaming+laptop&qid=1766758992&sr=8-15,ASUS
"acer SmartChoice ALG, 13th Gen Intel Core i5-13420H, NVIDIA GeForce RTX 3050-6GB DDR6, 16GB RAM, 512GB SSD, FHD 15.6""/39.62 cm, 144Hz, Windows 11 Home, Steel Gray, 1.99 KG, AL15G-53,Gaming Laptop",62990,3.9,279,https://www.amazon.in/SmartChoice-i5-13420H-GeForce-3050-6GB-AL15G-53/dp/B0DXVGVNKN/ref=sr_1_16?dib=eyJ2IjoiMSJ9.fuKyGvxylU9VaCu5Bhm5qci4eYvuMJMB_AKLyKr2Nvm9FN07L04FZzPMMQcKY5cm7lGHkvSwZArJ8JLnI3zgqBZ64QrAfJ0GdArGGLtGiv3VUIEBHKD6S07g0kEu8p6UGKKFxcv5V4MnJo0vvrc0pRxDjUoYPuDtEpo2e0_BW8ti0bG84XqrvmGLTNv1DYuRC1g65Lr7Tsmtu2FFLoNA3lnEFxvLMvQQqpCbolsgE5s.gf2-kBaPzYBgN3vIOUwzkIqs6TPkcC-o-a84T_xHriU&dib_tag=se&keywords=gaming+laptop&qid=1766758992&sr=8-16,ACER
"Acer Nitro V 15, AMD Ryzen 5 6600H Hexa-core Processor,NVIDIA GeForce RTX 4050-6GB GDDR6,16 GB, 512 GB, Full HD IPS, 15.6""/39.62 cm, 165 Hz, Win 11 Home,Obsidian Black, 2.1 kg, ANV15-41,Gaming Laptop",74990,4.5,83,https://www.amazon.in/Hexa-core-Processor-4050-6GB-Obsidian-ANV15-41/dp/B0FPQ7YC8D/ref=sr_1_17?dib=eyJ2IjoiMSJ9.fuKyGvxylU9VaCu5Bhm5qci4eYvuMJMB_AKLyKr2Nvm9FN07L04FZzPMMQcKY5cm7lGHkvSwZArJ8JLnI3zgqBZ64QrAfJ0GdArGGLtGiv3VUIEBHKD6S07g0kEu8p6UGKKFxcv5V4MnJo0vvrc0pRxDjUoYPuDtEpo2e0_BW8ti0bG84XqrvmGLTNv1DYuRC1g65Lr7Tsmtu2FFLoNA3lnEFxvLMvQQqpCbolsgE5s.gf2-kBaPzYBgN3vIOUwzkIqs6TPkcC-o-a84T_xHriU&dib_tag=se&keywords=gaming+laptop&qid=1766758992&sr=8-17,ACER
"MSI Thin A15, Ryzen 5 7535HS, 40CM FHD 144Hz Gaming Laptop(16GB/512 GB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 3050, GDDR6 4GB /Cosmos Gray/1.86Kg), B7UC-067IN",57900,3.9,28,https://www.amazon.in/MSI-7535Hs-Windows-Geforce-B7Uc-067In/dp/B0CV5FB6DG/ref=sr_1_18?dib=eyJ2IjoiMSJ9.fuKyGvxylU9VaCu5Bhm5qci4eYvuMJMB_AKLyKr2Nvm9FN07L04FZzPMMQcKY5cm7lGHkvSwZArJ8JLnI3zgqBZ64QrAfJ0GdArGGLtGiv3VUIEBHKD6S07g0kEu8p6UGKKFxcv5V4MnJo0vvrc0pRxDjUoYPuDtEpo2e0_BW8ti0bG84XqrvmGLTNv1DYuRC1g65Lr7Tsmtu2FFLoNA3lnEFxvLMvQQqpCbolsgE5s.gf2-kBaPzYBgN3vIOUwzkIqs6TPkcC-o-a84T_xHriU&dib_tag=se&keywords=gaming+laptop&qid=1766758992&sr=8-18,MSI
"HP Omen, 14th Gen Intel Core i7-14700HX, 8GB RTX 4070 (16GB DDR5, 1TB SSD) 165Hz, 300nits, IPS, FHD, 16.1""/40.9cm, Win11, M365* Office 24, Meteor Silver, 2.31Kg, RGB Backlit, ae0003TX, Gaming Laptop",128990,3.4,9,https://www.amazon.in/HP-i7-14700HX-300nits-Backlit-ae0003TX/dp/B0FMYLXPKN/ref=sr_1_19?dib=eyJ2IjoiMSJ9.fuKyGvxylU9VaCu5Bhm5qci4eYvuMJMB_AKLyKr2Nvm9FN07L04FZzPMMQcKY5cm7lGHkvSwZArJ8JLnI3zgqBZ64QrAfJ0GdArGGLtGiv3VUIEBHKD6S07g0kEu8p6UGKKFxcv5V4MnJo0vvrc0pRxDjUoYPuDtEpo2e0_BW8ti0bG84XqrvmGLTNv1DYuRC1g65Lr7Tsmtu2FFLoNA3lnEFxvLMvQQqpCbolsgE5s.gf2-kBaPzYBgN3vIOUwzkIqs6TPkcC-o-a84T_xHriU&dib_tag=se&keywords=gaming+laptop&qid=1766758992&sr=8-19,HP
"ASUS ROG Strix G16,Intel Core Ultra 9 275HX,Gaming Laptop(RTX 5070-8GB/115W TGP/32GB/1TB /2.5K QHD+/16""/240Hz/90WHrs/Windows 11/M365 Basic(1Year)*/Office Home 2024/Eclipse Gray/2.65 Kg)G615LP-S5022WS",209990,3.6,4,https://www.amazon.in/ASUS-5070-8GB-Windows-Eclipse-G615LP-S5022WS/dp/B0F9X949BL/ref=sr_1_20?dib=eyJ2IjoiMSJ9.fuKyGvxylU9VaCu5Bhm5qci4eYvuMJMB_AKLyKr2Nvm9FN07L04FZzPMMQcKY5cm7lGHkvSwZArJ8JLnI3zgqBZ64QrAfJ0GdArGGLtGiv3VUIEBHKD6S07g0kEu8p6UGKKFxcv5V4MnJo0vvrc0pRxDjUoYPuDtEpo2e0_BW8ti0bG84XqrvmGLTNv1DYuRC1g65Lr7Tsmtu2FFLoNA3lnEFxvLMvQQqpCbolsgE5s.gf2-kBaPzYBgN3vIOUwzkIqs6TPkcC-o-a84T_xHriU&dib_tag=se&keywords=gaming+laptop&qid=1766758992&sr=8-20,ASUS
"ASUS Gaming V16 (2025) 14th Gen,Intel Core 5 210H Gaming Laptop (RTX 4050-6GB/16GB RAM/512GB SSD/Windows 11 Home/16/144Hz/M365*/Office Home 2024,Matte Black,1.95 Kg),V3607VU-RP550WS",77790,4.0,47,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNTkxNjEzODE4NDkyMTE3OjE3NjY3NTg5OTI6c3BfYnRmOjMwMDYyMDA2NTg1NDYzMjo6MDo6&url=%2FASUS-Gaming-4050-6GB-Windows-V3607VU-RP550WS%2Fdp%2FB0F5N2ZK2S%2Fref%3Dsr_1_21_sspa%3Fdib%3DeyJ2IjoiMSJ9.fuKyGvxylU9VaCu5Bhm5qci4eYvuMJMB_AKLyKr2Nvm9FN07L04FZzPMMQcKY5cm7lGHkvSwZArJ8JLnI3zgqBZ64QrAfJ0GdArGGLtGiv3VUIEBHKD6S07g0kEu8p6UGKKFxcv5V4MnJo0vvrc0pRxDjUoYPuDtEpo2e0_BW8ti0bG84XqrvmGLTNv1DYuRC1g65Lr7Tsmtu2FFLoNA3lnEFxvLMvQQqpCbolsgE5s.gf2-kBaPzYBgN3vIOUwzkIqs6TPkcC-o-a84T_xHriU%26dib_tag%3Dse%26keywords%3Dgaming%2Blaptop%26qid%3D1766758992%26sr%3D8-21-spons%26aref%3DsZP94ZxJ4H%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1&aref=sZP94ZxJ4H&sp_cr=ZAZ,ASUS
"MSI Thin 15, Intel 12th Gen. i7-12650H, 40CM FHD 144Hz Gaming Laptop (16GB/1TB NVMe SSD/Windows 11 Home/Office 2021/NVIDIA GeForce RTX 3050, GDDR6 4GB/Cosmos Gray/1.86Kg) B12UC-2239IN",74953,4.0,11,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNTkxNjEzODE4NDkyMTE3OjE3NjY3NTg5OTI6c3BfYnRmOjMwMDYyMDA2NTg1NDQzMjo6MDo6&url=%2FMSI-i7-12650H-Windows-GeForce-B12UC-2239IN%2Fdp%2FB0DQPTMBKM%2Fref%3Dsr_1_22_sspa%3Fdib%3DeyJ2IjoiMSJ9.fuKyGvxylU9VaCu5Bhm5qci4eYvuMJMB_AKLyKr2Nvm9FN07L04FZzPMMQcKY5cm7lGHkvSwZArJ8JLnI3zgqBZ64QrAfJ0GdArGGLtGiv3VUIEBHKD6S07g0kEu8p6UGKKFxcv5V4MnJo0vvrc0pRxDjUoYPuDtEpo2e0_BW8ti0bG84XqrvmGLTNv1DYuRC1g65Lr7Tsmtu2FFLoNA3lnEFxvLMvQQqpCbolsgE5s.gf2-kBaPzYBgN3vIOUwzkIqs6TPkcC-o-a84T_xHriU%26dib_tag%3Dse%26keywords%3Dgaming%2Blaptop%26qid%3D1766758992%26sr%3D8-22-spons%26aref%3DyWd5bVclN1%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1&aref=yWd5bVclN1&sp_cr=ZAZ,MSI
"HP Smartchoice Victus, 13th Gen Intel Core i7-13620H, 8GB RTX 5050, 24GB DDR5(Upgradeable) 1TB SSD, 144Hz, FHD, 15.6''/39.6cm, Win11, M365* Office24, Mica Silver, 2.29kg, fa2309TX, RGB Gaming Laptop",103990,4.0,35,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NDAxNTIyMDQxNjUzNTgyOjE3NjY3NTkwMDU6c3BfYXRmX25leHQ6MzAwNjQzNjI2MzAwOTMyOjowOjo&url=%2FHP-Smartchoice-i7-13620H-Upgradeable-Office24%2Fdp%2FB0FDKPZHB7%2Fref%3Dsr_1_17_sspa%3Fdib%3DeyJ2IjoiMSJ9.PnRDkx5KV6ZnfXWD4D1A1Qj6cM3EA6g8M8FxNXxIZRbjfnCaH4ulPZ6eKpWlSJSDYRjq_iPoOvlgLXZXrP_b8ZDjZ_3Uc1Wz-TBvHxIOHv4xco-AQ4RwMV7tAPJvznNEr6wxpga66OoxakFDDw_6TAbMZC6LRS0Tbj1MWnXt6vDpGLUr94-L95_2w0WsI5eS_c3LDpqCVLiIpfq2EG9NW8E6VWBoEzDi-PqkKl95oWY.QOqm1GeBPunC8Oud7OA9hMdHux9cq4lzrCLXOzKosgE%26dib_tag%3Dse%26keywords%3Dgaming%2Blaptop%26qid%3D1766759005%26sr%3D8-17-spons%26aref%3DVmHkoHvGSi%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1&aref=VmHkoHvGSi&sp_cr=ZAZ,HP
